audio,text,source
00000011.wav,Điểm thứ hai Khi mình nhìn ra bên ngoài Mình nhận ra được cái tầm quan trọng Của việc đa dạng hóa network Đa dạng hóa network nghĩa là như thế nào?,0
00000012.wav,"Trong cuốn sách mang tên Mindset của tác giả Carol Drake, bà là một nhà tâm lý học cũng như là một giảng viên tại trường đại học Harvard và đại học Stanford của Mỹ. Bà có làm một thí nghiệm như sau. Bà đã cho các em nhỏ 4 tuổi một lựa chọn, hoặc là các em sẽ làm lại bài tập xếp hình mà đã được làm trước đó, hoặc là làm một bài tập mới tinh, khó hơn và chưa gặp bao giờ. Ở ngay cái tầm tuổi này mới chỉ có 4 tuổi thôi nhưng đã có rất nhiều em nhỏ tin vào cái phẩm chất cố định của trí thông minh. Và các em nghĩ rằng thông minh là mình không được làm sai, là phải được điểm 10, là không được mắc một lỗi lầm nào cả.",0
00000013.wav,"Nhiều em đã chọn làm lại cái bài tập mà các em đã làm trước đó. Ngược lại, có một bộ vận các bạn nhỏ khác thì lại cho rằng cái việc làm đi làm lại những bài tập mà đã được giao trước đó rồi là một sự kỳ quọc. Và tốn thời gian, các bạn ấy liên tục đòi hỏi những bài tập khó hơn, khó hơn dần dần. Và cho rằng là các bạn ấy có thể liên tục luyện tập và trở nên thông minh hơn, chứ không cần thông minh nghe từ đầu. Đây chính là cái nền tảng để Carol Drake viết ra cuốn Mindset và tạo ra 2 loại tư duy chính. Đó là tư duy cố định và tư duy phát triển. Những người có tư duy cố định là những người cho rằng tài năng và năng lực của mỗi cá nhân là bất biến.",0
00000014.wav,Bạn sẽ mãi mãi là bạn và số phận của bạn tùy thuộc vào khả năng né tránh thách thức và thất bại. Ngược lại thì những người có tư duy phát triển lại nhìn nhận khả năng của bản thân như là những dòng chảy liên tục phát triển. Mỗi trải nghiệm bài học rút ra là một cơ hội để khiến họ tốt hơn ngày hôm qua. Họ vẫn tin vào tài năng nhưng với nỗ lực họ có thể tiến sang rất nhiều. Để minh họa rõ ràng nhất cái sự khác nhau giữa tư duy cố định và tư duy phát triển là gì thì mình sẽ lấy cho các bạn các ví dụ của những ngữ cảnh khác nhau. Đầu tiên thì mình sẽ nói về cuộc sống đấy chẳng hạn.,0
00000015.wav,"Các bạn hãy tưởng tượng nhé, hôm nay là ngày giáo viên trả điểm muốn muôn học mà bạn rất là yêu thích. Nhưng mà khi cầm điểm với tay thì bạn nhận ra là bạn chỉ được có 6 trên 10 thôi. Sau đó thì trên đường về, trên đường từ trường về nhà thì bạn bị công an bắt và phải nộp phạt. Sau đó thì về đến nhà thì bạn thấy là đồ đạp vứt bừa bãi ra và bạn cảm thấy nhiều cuộc đời này nó đảo lộn hết thì bạn cảm thấy rất là bực mình khó chịu. Gọi điện cho người bạn thân của mình thì bạn thân của bạn còn chả muốn nghe và có thái độ rất là hờ hững. Đối với một người có tư duy cố định thì họ sẽ cho rằng họ là một kẻ thất bại, họ là một người ngu ngốc.",0
00000016.wav,"Tất cả trên thế giới này ai cũng may mắn hơn họ và chính đến người bạn thân của họ thì cũng chả thèm hiểu cho mình gì cả, chả thèm quan tâm, chả thèm để ý gì đến mình. Và cái hành động họ thực hiện đó là họ không còn thiết tha gì về học nữa. Họ nằm lên giường, đi ngủ hoặc là cày phim, hoặc là ăn uống, ăn đồ ngọt, hoặc là gào thét vào mặt người thân, còn để cho bỏ tức. Đối với một người có tư duy phát triển thì sao? Các bạn ấy sẽ liên tục nhìn lại và tìm ra nguyên nhân và gốc rễ của vấn đề. Vì sao bạn chỉ được cứ 6 điểm trên 10? Chắc cả là hôm đấy bạn đã làm sai cái gì đấy trong bài kiểm tra, hoặc là trong độ ôn tập các bạn đã ôn sai phương pháp, thì lần sau trong bài kiểm tra khác chú ý hơn và ôn theo phương pháp khác đi.",0
00000017.wav,"Còn đối với việc là người bạn thân của mình hôm đấy tỏ ra thái độ hững hờ chẳng hạn, gọi điện cho người bạn thân ấy hỏi xem hôm đấy bạn gặp vấn đề gì, có khi bạn ấy cũng bị điểm thấp, có khi điểm thấp hơn mình thì sao? Còn việc bị công an bắt, do bạn sai thôi, bạn sai thì công an người ta mới bắt, thì lần sau chú ý đừng có để gặp cái lỗi sai đó nữa. Còn việc là về nhà chúng ta thấy nhà bừa bộn cũng là do bạn thôi, do bạn không ngăn nắp, không kỷ luật thôi. Đấy là cách mà một người có tư duy phát triển người ta suy nghĩ theo hướng như vậy. Ví dụ thứ 2 thì mình sẽ lấy về những nhà lãnh đạo, những người cầm quyền có ảnh hưởng rất lớn nhưng mà lại có tư duy cố định.",0
00000018.wav,"Thì một người được nhắc đến rất nhiều trong cuộc mindset của Carol Drake là Iacocca, là người lãnh đạo của tập đoàn Chrysler Motors, hay là cũng như là lãnh đạo của Ford. Ông liên tục cho ra những mẫu xe giống nhau và chỉ khác nhau có một chút thôi. Trong khi đó những hãng xe của Nhật Bản thì họ liên tục thay đổi mẫu má, thay hổi cả cách vận hành của ô tô nữa. Nên là người tiêu dùng người ta bắt đầu cảm thấy chán và không muốn mua xe của Ford, của Chrysler Motors nữa. Một ví dụ khác cũng là một người rất là nổi tiếng tên là Chris Palmer. Nếu mà các bạn yêu thích công nghệ thì các bạn có thể biết đến ông.",0
00000019.wav,"Ông là CEO của Microsoft sau thời Bill Gates. Thì ông đã từng nhận xét về iPhone, đó là một cái nghiên cứu, một cái phát minh rất là ngớ ngẩn. Và đặc biệt là nó còn không có cái bàn phím cứng ấy, thì làm sao mà các bạn có thể gửi email được. Đấy, các bạn xem video các bạn có thể thấy.",0
00000020.wav,"Và sau đó thì những mẫu điện thoại của Windows Phone kết hợp với Nokia thì phát triển rất chậm so với Samsung và hệ điều hành Android cũng như là iPhone và hệ điều hành iOS. Ví dụ thứ 3 mình sẽ lấy về môi trường học tập. Carol Drake có hỏi là các em học sinh tiểu học một câu hỏi như sau. Các em nghĩ thế nào là thông minh? Những em học sinh có tư duy cố định cho rằng thông minh là con không mắc một sai lầm nào cả. Là con làm bài tập nhanh hơn các bạn khác. Là con tạo ra một kết quả hoàn hảo. Là con làm một bài tập gì đấy, một cái công việc gì đấy dễ dàng. Và những người khác thì phải trật vật khó khăn với nó.",0
00000021.wav,"Còn đối với những bạn có tư duy phát triển, thì các bạn đã trả lời là thông minh là khi mà con phải cố gắng hết sức để làm và tìm ra được cái bài giải cho cái bài tập khó đó. Và sau một khoảng thời gian thì con đã tìm ra được. Và đối với các bạn này, thì cái việc hoàn hảo ngay lập tức, từ đầu, không phải là đối tượng ưu tiên. Mà các bạn ưu tiên hơn cái việc là dành nỗ lực để tìm ra được đáp án cho cái bài tập đó.",0
00000022.wav,"Một nhà nghiên cứu tên là Benjamin Bloom đã từng làm một nghiên cứu đối với 120 nhân vật xuất chúng và nổi bật ở tất cả những lĩnh vực khác nhau, từ là điêu khách này cho đến là hội họa này, xong rồi là piano, xong rồi là vận động viên bơi lội Olympic hay là những vận động viên đánh tennis chẳng hạn. Và ông đã cho ra một cái kết luận như thế này. Phần lớn trong số họ khi còn nhỏ đều không có điểm gì đặc biệt. Tài năng của họ cũng không được thể hiện rõ trước khi họ bắt đầu quá trình đào tạo nghiêm túc. Chỉ có động lực và lòng quyết tâm bền bỉ cùng mạng lưới hỗ trợ mới giúp đưa họ lên tới đỉnh cao của thành công.",0
00000023.wav,Ông cũng đã dành hơn 40 năm để nghiên cứu về học tập và cũng đã cho ra một kết luận cuối cùng. Đó là mọi người đều có sức học ngang nhau nếu họ được tạo điều kiện phù hợp trước đó và hiện tại để học tập. Có một kết luận khác khá là nổi bật trong cuốn mindset của Carol Track đó là nếu mà bố mẹ liên tục khen về năng lực của con cái mình thì EQ của bé sẽ giảm đi và ngược lại nếu mà bố mẹ khen về nỗ lực của con cái mình thì EQ của bé sẽ tăng lên.,0
00000024.wav,Một ví dụ khác về học tập mà Carol có nói trong cuốn mindset đó là bây giờ các bạn tưởng tượng một nhóm học sinh được đưa cho một bài tập cực kỳ khó về năng lực các bạn đó và bị điểm thấp. Thì những bạn học sinh mà có tư duy cố định thì các bạn sẽ thay vì là cầm cái số điểm đó và tìm hiểu lý do vì sao mà mình bị điểm thấp thì các bạn ấy ngay lập tức giấu đi và không cho ai biết. Khi mà về nhà ấy các bạn ấy sẽ có xu hướng là lừa dối bố mẹ có thể giấu sửa liên lạc giấu cái bảng điểm đi hoặc là sửa chữa cái lòng tự tôn của mình bằng việc là so sánh mình với những bạn bị điểm kém hơn chẳng hạn.,0
00000025.wav,Sau đó thì các bạn đổ lỗi cho những yếu tố khác đổ lỗi cho đề đổ lỗi cho cô giáo và lâu dần các bạn liên tục làm những điều đó và đâm ra các bạn ấy bị chán nản và cùng với cái áp lực của bố mẹ của nhà trường nữa các bạn sẽ sinh ra trầm cả. Đối với những bạn học sinh mà có tư duy phát triển thì sao? Các bạn ấy cố gắng hết sức để tìm ra được cái bài giải cho bài tập đó dù nó khó đến đâu. Các bạn ấy có thể hỏi thầy cô hỏi bạn bè đi nghiên cứu trên mạng hỏi bất cứ người nào các bạn ấy biết thay vì việc là dấu dốt. Một ví dụ khác về môi trường làm việc đi chẳng hạn.,0
00000026.wav,Nếu bây giờ các bạn gặp một người lãnh đạo mà không cố gắng phô trương quyền lực không cố gắng tỏ ra là mình giỏi hơn người khác không ôm hết công lao về mình mà đó là một trách nhiệm của tập thể đi hay là không chùi dập người khác để cảm thấy mình uy lực hơn thì xin chúc mừng bạn các bạn đã gặp một người lãnh đạo mà có tư duy phát triển. Những người lãnh đạo có tư duy cố định thì sao?,0
00000027.wav,"Hello, xin chào các bạn. Hôm nay mình đã quay trở lại YouTube rồi đây. Trời ơi, đã rất là lâu, rất rất là lâu rồi, phải 3 tháng rồi. Mình mới làm một cái video và mình rất là nhớ kênh YouTube này. Thực ra là thời gian vừa rồi mình không có bị ốm, như là rất nhiều bạn nhắn tin cho mình hỏi là mình có bị vấn đề gì không. Là một cái gì đấy mình cảm thấy rất là may mắn khi mà cái nghề này, mình không coi như là một nghề nha, nhưng mà nó khiến cho mình được nhận được rất là nhiều cái tình cảm của các bạn. Thực ra thì sao? Mình có một vài công việc cá nhân, mình cần phải ngâm nghĩ và giải quyết.",0
00000028.wav,"Cộng với lại là nó là thời điểm cuối năm, nên là mình đã quyết định là đi du lịch, đóng hết máy tính cá nhân lại, đóng máy tính công việc lại, không nghĩ gì về cuộc sống cá nhân hay là công việc. Mình đã ngẫm lại là 2023 vừa rồi, mình đã làm điều gì ok, mình đã làm điều gì tốt, và điều gì mình cần phải cải thiện thêm. Và bây giờ mình đã quay trở lại rồi đây. Trong video này thì mình sẽ nói về hướng nội hay là hướng ngoại. Việc cố gắng hiểu rõ được bản chất, tính cách của con người là một cái gì đấy mà vẫn khiến cho giới khoa học rất là tò mò và muốn giải mã nó.",0
00000029.wav,"Các người đầu tiên mà đưa ra cái cụm từ introversion hay là extroversion này chính là Cao Zhang vào 1910. Đấy là cái năm mà ông xuất bản bài nghiên cứu đầu tiên và cho đến bây giờ đã là hơn 100 năm, đã có rất là nhiều nhà nghiên cứu khoa học khác nhảy vào phản bác và phát triển cái đề tài này sâu hơn. Và cho tới tận ngày hôm nay, công cuộc nghiên cứu này nó vẫn còn đang tiếp diễn và chưa hề dừng lại. Để tóm bọn lại cái nghiên cứu của ông, thì Cao Zhang cho rằng tính cách của con người được tạo thành bởi 4 cái cặp đối lập. Đầu tiên đó là introversion và extroversion, nghĩa là hướng nội hay là hướng ngoại.",0
00000030.wav,"Bạn lấy cái năng lượng từ đâu? Thứ hai đó là sensing hay là intuition, nghĩa là bạn là người thích tư duy ý tưởng mới và nhìn cái bức tranh tổng quát hay là bạn là người thích tập trung vào chi tiết và thực tế. Thứ ba đó là thinking hay là feeling, nghĩa là khi đưa ra quyết định bạn có cân nhắc tới cảm xúc của người khác hay không? Hay là bạn là người nghe theo sự nguyên tắc và logic? Nghĩa là đại loại là bạn là người nghe con tim hay là nghe theo lý trí đấy.",0
00000031.wav,"Và thứ tư đó là judging hay là perceiving, nghĩa là bạn là người thích lên kế hoạch cụ thể trước khi làm một việc gì đó hay là bạn là người thích theo kiểu là đi đến đâu nghĩ đến đấy hay là đi đến đâu hay đến đó. Bốn cặp tính cách vừa rồi đã được Isabel Briggs -Myers và mẹ của bà phát triển thành một bài kiểm tra tính cách mà chúng ta có thể đã từng nghe qua, đó là MBTI đấy. Và sau khi chúng ta làm bài kiểm tra đấy xong, chúng ta sẽ được xếp vào một trong 16 nhóm tính cách khác nhau. Mà mình có thể sẽ đềm cái link ở phía dưới này này. Đấy, để cho các bạn làm.",0
00000032.wav,"Mình hay làm cái link này, đó là 16personalities .com bởi vì mình thấy cái thiết kế của cái trang web này rất là đẹp. Và trong video này thì mình sẽ chỉ đi về cặp tính cách đầu tiên đó là introversion hay là extroversion. Hay là bây giờ chúng ta gọi là introvert hay là extrovert đấy. Hướng nội hay là hướng ngoại. Để tóm gọn lại thì những người hướng nội là những người thích sự một mình, thích sự riêng tư, thích ngồi quan sát và suy ngẫm. Còn những người hướng ngoại thì cần phải có cái sự tác động từ ngoại cảnh.",0
00000033.wav,"Ví dụ như là họ cần phải đi ra trốn đông người, đi ra quán cà phê, hoặc là họ cần phải gặp gỡ bạn bè để có thể sạc lại năng lượng. Phần lớn thì chúng ta thường nghĩ là chúng ta sẽ rơi vào hai cái thái cực hoặc là hoàn toàn hướng ngoại hoặc là hoàn toàn hướng nội. Nhưng mà thực tế thì phần lớn chúng ta nó rơi vào phần ở giữa. Nghĩa là chúng ta hoặc là hướng ngoại nhiều hơn hướng nội, hoặc là hướng nội nhiều hơn hướng ngoại. Mà trong giới khoa học họ đặt một cái tên cho những người ở giữa là ambivert. Mình sẽ nói về nhóm hướng nội trước, rồi nhóm hướng ngoại sau.",0
00000034.wav,"Đầu tiên về việc dành thời gian thì nhóm hướng nội thường sẽ thích một mình, thích ở nhà, thích những nơi vắng vẻ. Họ cảm thấy rất là mệt mỏi khi phải ở nơi đông người quá lâu và họ cảm thấy là khó bắt chuyện với người lạ hơn. Và họ rất là hạn chế giao tiếp. Và khi giao tiếp thì họ nghe nhiều hơn, họ lắng nghe nhiều hơn là họ nói. Còn những người hướng ngoại thì thích đi chơi, thích đi ra ngoài, thích được ở xung quanh bạn bè, thích giao lưu ở chốn đông người. Và họ rất là dễ bắt chuyện với người lạ, đây là một điểm rất mạnh của họ. Họ rất là giỏi giao tiếp. Và họ thường nói nhiều hơn là nghe.",0
00000035.wav,"Trong việc là tính cách thì là những người hướng nội rất là riêng tư, kín đáo, rẻ rặt. Tuy nhiên là họ khá là khó gần. Nhưng một khi mà họ đã quen rồi, bạn đã trở thành bạn của họ rồi, thì họ sẽ rất là trân trọng cái mối quan hệ với bạn. Và họ khá là ngại xung đột và mâu thuẫn. Khi mà có vấn đề thì họ sẽ thường là tránh, chứ không là trực tiếp là đứng ra và giải quyết hay là nói nó một cách kiểu trực tiếp. Còn những người hướng ngoại thì rất là cởi mở, thích có được sự chú ý, có rất là nhiều năng lượng và họ rất là dễ gần, họ không ngại kết bạn.",0
00000036.wav,"Và họ cũng không sợ xung đột, nghĩa là có vấn đề gì thì họ sẽ sẵn sàng chia sẻ quan điểm để giải quyết nó luôn. Cuối cùng là cái việc mà làm việc thì những người hướng nội thường sẽ thích có một dàng khoảng thời gian riêng để ngẫm nghĩ, thấu đáo trước khi mà họ đem ra để bàn luận với đồng nghiệp. Và họ sẽ thường chú ý đến chi tiết, họ thích phân tích kỹ lưỡng trước khi đưa ra kết luận. Còn những người hướng ngoại thì thích cùng tạo ra ý tưởng, và tìm cách giải của vấn đề rất rất là nhanh và linh hoạt.",0
00000037.wav,Nhiều nhà khoa học cũng đã làm những nghiên cứu rất là hàn lâm để chứng minh cái luận điểm vừa rồi. Và nó cũng cho ra kết quả tương tự. Ví dụ như là có một nhóm nhà khoa học đã đi quét cái sóng não của những người hướng nội so với những người hướng ngoại thì cho thấy là đúng là những người hướng nội họ dành nhiều thời gian ra để phân tích suy nghĩ vấn đề thật. Và những cái suy nghĩ của họ đúng là rất là sâu. Tuy nhiên là nó đi kèm với cái sự lo âu và trầm cảm. Còn những người hướng ngoại thì họ rất rất là linh hoạt. Nhạc nào họ cũng nhảy và đôi khi là hơi bốc đồng một chút.,0
00000038.wav,"Còn cái việc mà tìm kiếm cái niềm vui trong cuộc sống đi chẳng hạn thì khi mà những người hướng ngoại họ gặp cỡ bạn bè hay là họ thắng một cái cuộc thi, một cái giải thưởng nào đó thì họ tiết ra rất rất là nhiều dopamine. Và cái dopamine thì mình xin được nhắc lại nó là cái hormôn hạnh phúc đấy. Nghĩa là cái hormôn mà khiến chúng ta cảm thấy vui vẻ, yêu đời, rồi là dễ chịu hơn hẳn. Vậy thì cái điều gì nó khiến cho chúng ta hướng nội hay là hướng ngoại?",0
00000039.wav,"Thì thực ra là theo khoa học thì họ đã tìm thấy 2 cái nguyên nhân cốt lõi để đặt chúng ta vào nhóm hoặc là hướng nội nhiều hơn hoặc là hướng ngoại nhiều hơn. Cái đầu tiên nó là gen. Thực ra thì theo nghiên cứu, rất rất là nhiều nghiên cứu và những nghiên cứu mới nhất mình biết được nó là năm 2017. Cái việc mà chúng ta hướng nội hay là hướng ngoại nhiều hơn nó được hình thành từ khi mà chúng ta ra đời. Nó đã được truyền lại từ đời bố, đời mẹ hay là đời ông, bà rồi. Và khi mà bố mẹ đều có xu hướng hướng nội thì thường là con cái cũng sẽ có xu hướng là trở thành người hướng nội.",0
00000040.wav,"Cái điều thứ 2 nó là về mặt môi trường, yếu tố ngoại cảnh. Cái việc mà chúng ta thay đổi môi trường sống tính cách con người nó cũng sẽ phải dần dà thay đổi theo. Ví dụ như là chúng ta ở trong một cái môi trường mà rất là xối động yêu cầu cái việc mà chúng ta cần phải đi ngoại giao nhiều thì rõ ràng là chúng ta cũng phải chuyển dần cái tính cách của chúng ta thành những người hướng ngoại. Rồi là phải nói chuyện nhiều hơn, phải đi ra ngoài nhiều hơn, phải xông xáo nhiều hơn đúng không? Và ngược lại thôi.",0
00000041.wav,"Có một cái mình nhận ra sau khi mình đọc rất là nhiều những bài báo trên mạng và những cái comment này các bạn thì mình thấy có khá là nhiều hiểu lầm về hướng nội và hướng ngoại. Thì mình sẽ chọn ra 3 cái hiểu lầm mình thấy nó phô biến nhất. Thứ nhất, đó là mọi người hay cho rằng những người hướng nội là những người hay là e ngại rồi là không thích gặp gỡ mọi người. Thực ra điều này không phải. Cái họ thường là sẽ không e ngại. E ngại thường nó sẽ chỉ xảy ra khi mà chúng ta lo sợ một cái điều gì đấy. Chúng ta chưa chuẩn bị kỹ. Nhưng mà thực ra những cái người mà hướng nội họ dành rất nhiều thời gian để suy nghĩ.",0
00000042.wav,"Thành ra cái sự chuẩn bị của họ có khi còn nhiều hơn cả những người hướng ngoại cơ đúng không? Và có rất là nhiều người hướng nội nổi tiếng trên mạng. Hay là chúng ta nhìn thấy như là Bill Gates chẳng hạn là một người hướng nội rất là hay bị lôi ra làm ví dụ. Thì ông là một người hơi mọt sách, rất là kín đáo. Nhưng mà ông không hề e ngại. Mỗi khi ông đứng lên trên sân khấu hay là ông đưa ra một bài diễn thuyết nào đấy thì ông cực kỳ là quả quyết. Và những người hướng nội cũng không ngại đến trốn đông người. Chẳng qua là họ chọn cách tiếp cận khác. Khi mà họ phải đến trốn đông người thì họ sẽ chọn ngồi trong góc chẳng hạn.",0
00000043.wav,"Hay là ngồi một chỗ nào đấy mà nó không quá là sập xình. Và họ không muốn đi ra bắt chuyện quá nhiều mà họ sẽ thường chỉ muốn nói chuyện với những người trong cái mối quan hệ đã có sẵn của họ mà thôi. Cái hiểu lầm thứ hai mình nhận ra mọi người rất hay cho rằng những người hướng nội là những người không phải là một người lãnh đạo giỏi và không phải là một người nói giỏi trước đám đông. Thực ra thì một cái điều, một cái search ngắn ở trên Google đây chúng ta có thể thấy là như mình sẽ để ở đây đó là 4 trên 10 CEO của những tập đoàn lớn đều là những người hướng nội. Đúng không?",0
00000044.wav,"Mình không thể cho rằng là những người hướng nội không thể trèo lên cao được trong cái thước đo, thước cái thang của tập đoàn nữa đúng không? Và những người hướng nội cũng không phải là những người kiểu nói kém bởi vì rõ ràng là khi mà họ dành nhiều thời gian ra để họ đào sâu biết là họ cần phải nói cái gì rồi là họ suy nghĩ rất là sâu và phân tích cái vấn đề sâu rồi thì khi mà họ đứng lên nói thường thì có khi cái khả năng diễn thuyết cho công chúng của họ còn tốt hơn cả những người hướng ngoại cơ bởi vì là họ đã cân nhắc rất là kỹ cái gì họ cần phải nói rồi.",0
00000045.wav,Cái hiểu lầm thứ 3 đó là những người hướng nội thường hay bị cho rằng là những người có suy nghĩ tiêu cực. Thực ra thì cái này nó là một quan điểm chung của xã hội rồi. Rất nhiều người cho rằng cái việc chúng ta cần phải linh hoạt hoạt bát rồi là năng nổ mới là cái hình mẫu tốt để chúng ta hướng tới trong xã hội đúng không?,0
00000046.wav,Và khi những người hướng ngoại như thế mà họ bị bắt ngồi một mình thì chẳng hạn là họ sẽ cảm thấy không thể chịu được và họ cũng sẽ cho rằng là ôi thế chúng ta phải những người hướng nội những cái bạn mà cứ dành cả ngày ở nhà hay là cứ đi ra đâu thì cứ ngồi một mình ru ru trong góc sẽ là những người rất là lập dị rồi là trầm cảm và có khuyên hướng suy nghĩ tiêu cực. Nhưng thực ra không phải.,0
00000047.wav,"Những người như thế có khi cái việc mà họ được ngồi một mình họ được làm việc một mình họ được suy nghĩ một mình, không cần phải làm việc với ai trong một khoảng thời gian mới là lúc mà họ cảm thấy là họ tạo ra được nhiều cái năng suất lao động nhất năng suất lao động lên cao nhất họ cảm thấy vui vẻ, sáng tạo và thoải mái hơn hẳn so với việc là cứ phải ở cạnh người khác 24 trên 7 đúng không? Và những người hướng nội họ không coi cái việc một mình tương đồng với cái sự cô đơn cô độc như là nhiều người vẫn nghĩ.",0
